id,bet_slip_id,agent_id,coin_debited,agent_share,coin_credited,actual_agent_share,created_at,updated_at,coins_to_be_debited,agent_responsibility_share_percentage
1,1,1,975,100,500,100,2024-11-06 11:32:33.483578,2024-11-06 11:32:33.483578,975,100
2,2,1,975,100,500,100,2024-11-06 12:04:39.860643,2024-11-06 12:04:39.860643,975,100
3,3,1,1395,100,500,100,2024-11-07 12:05:11.860135,2024-11-07 12:05:11.860135,1395,100
4,4,1,975,100,500,100,2024-11-08 09:24:39.146525,2024-11-08 09:24:39.146525,975,100
5,5,1,975,100,500,100,2024-11-09 07:11:22.276724,2024-11-09 07:11:22.276724,975,100
