id,match_id,user_id,agent_id,client_type,client_id,agent_share_percentage,agent_descendant_share_percentage,agent_earnings_share_percentage,agent_responsibility_share_percentage,system_betslip_earnings,system_session_earnings,system_session_turnover,system_betslip_commission_percentage,system_session_commission_percentage,system_betslip_commission,system_session_commission,system_total_commission,system_bet_earnings,system_usage_charges,system_bet_earnings_of_agent,system_usage_charges_to_agent,system_bet_earnings_of_parent_agent,system_usage_charges_to_parent_agent,system_earnings_of_agent_from_client,system_earnings_of_parent_agent_from_client,agent_betslip_earnings_responsibility,agent_session_earnings_responsibility,agent_session_turnover_responsibility,agent_betslip_commission_percentage,agent_session_commission_percentage,agent_betslip_commission_responsibility,agent_session_commission_responsibility,agent_total_commission_responsibility,agent_bet_earnings_responsibility,agent_usage_charges_from_client,agent_responsibility,agent_net_earnings,created_at,updated_at,provider_match_id,provider
1,33,5,6,User,5,10,0,10,100,-120,0,0,20,20,0,0,0,-120,25,-12,25,-108,25,13,-83,-120,0,0,10,10,0,0,0,-120,25,-95,-12,2025-01-07 12:55:12.169040,2025-01-07 12:55:12.191619,42,arenas
2,33,5,1,Agent,6,100,10,90,90,-120,0,0,0,0,0,0,0,-120,25,-120,25,0,0,-95,0,-108,0,0,20,20,0,0,0,-108,25,-83,-83,2025-01-07 12:55:12.195369,2025-01-07 12:55:12.214971,42,arenas
3,35,5,6,User,5,10,0,10,100,-5860,-1000,1000,20,20,0,200,200,-7060,25,-706,25,-6354,25,-681,-6329,-5860,-1000,1000,10,10,0,100,100,-6960,25,-6935,-606,2025-01-07 15:16:31.886640,2025-01-07 15:16:31.922753,44,arenas
4,35,5,1,Agent,6,100,10,90,90,-5860,-1000,1000,0,0,0,0,0,-6860,25,-6860,25,0,0,-6835,0,-5274,-900,900,20,20,0,180,180,-6354,25,-6329,-6329,2025-01-07 15:16:31.926606,2025-01-07 15:16:31.956661,44,arenas
5,39,5,6,User,5,10,0,10,100,-160,0,0,20,20,0,0,0,-160,25,-16,25,-144,25,9,-119,-160,0,0,10,10,0,0,0,-160,25,-135,-16,2025-01-15 07:28:04.599130,2025-01-15 07:28:04.639742,48,arenas
