id,title,event_type,start_time,provider_id,provider_name,play_status,is_declared,created_at,updated_at,event_sub_type,won_by,sequence_string,tournament,stake_limits_package_id,is_archived,user_id,info,declaration_status,delay_bet_seconds,betfair_event_id,live_streaming_available,casino_table_id,end_time,declared_at,session_delay_bet_seconds,team1_image,team2_image,title_alias,created_by_id,updated_by_id
1,c1 vs c2,cricket,2024-09-25 21:18:00.000000,1,arenas,concluded,t,2024-09-25 15:49:44.552862,2025-04-04 14:17:34.265826,Test,,,,,f,,,pending,2.0,1,t,,,,1.0,,,,,
2,a10 vs b10,cricket,2024-09-25 21:29:00.000000,2,arenas,concluded,t,2024-09-25 16:00:06.643209,2025-04-04 14:18:02.850452,,,,,,f,,,pending,1.0,1,t,,,,1.0,,,,,
3,fed vs barca,football,2024-11-06 11:31:00.000000,6,arenas,concluded,t,2024-11-06 06:01:22.217940,2025-04-04 14:22:22.079870,,,,,,f,,,pending,1.0,1,t,,,,1.0,,,,,
4,sangli vs mumbai,kabaddi,2024-11-06 11:41:00.000000,7,arenas,in_play,f,2024-11-06 06:11:29.878976,2024-11-06 06:11:29.878976,full__time,,,,,f,,,pending,,,t,,,,,,,,,
5,Poker Live 06 Nov 05:02PM,card-game,2024-11-06 11:32:07.000000,12,arenas,concluded,t,2024-11-06 11:32:08.066885,2024-11-09 07:14:27.463744,,Player A,,,,f,,"{""match"":{""id"":12,""title"":""Poker Live 06 Nov 05:02PM"",""betfair_event_id"":null,""play_status"":""in_play"",""team1"":null,""team2"":null,""sequence_string"":null,""venue"":null,""info"":null,""score"":null,""horse_race_score"":null,""heroic_commentary"":null,""tournament"":null,""start_time"":""2024-11-06T11:32:07Z"",""end_time"":null,""event_type"":""card-game"",""event_sub_type"":""card-game-poker"",""tennis_score"":null},""markets"":[{""market"":{""id"":11,""betfair_market_id"":""poker_market"",""betfair_market_type"":""poker_market"",""status"":""OPEN"",""match_id"":12,""heroic_market_type"":""poker_market"",""extra_info"":null,""runners"":[{""betfair_can_lay"":null,""betfair_can_back"":null,""runner"":{""id"":18,""extra_info"":null,""betfair_selection_id"":""11_player_a"",""betfair_runner_name"":""Player A"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""11_player_a"",""b"":1.95,""l"":2.0}},{""betfair_can_lay"":null,""betfair_can_back"":null,""runner"":{""id"":19,""extra_info"":null,""betfair_selection_id"":""11_player_b"",""betfair_runner_name"":""Player B"",""status"":""ACTIVE"",""can_back"":true,""can_lay"":false,""back"":1.95,""lay"":2.0,""sid"":""11_player_b"",""b"":1.95,""l"":2.0}}]}}],""sessions"":[],""last_n_scores"":[],""winner_name"":""Player A""}",declared,,1,t,1.0,,2025-12-02 14:14:32.515442,,,,,,
